vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id,months,season
85,Trailer,623,2015,ELITE 8X4,Silver,04-01-2022,114,2022-01,Summer
86,Roadbike,629,2001,PIAGGIO,Silver,06-12-2021,102,2021-12,Summer
87,Trailer,623,2015,HELMACK 8X5,Silver,19-01-2022,114,2022-01,Summer
88,Trailer,623,1984,LOCAL,Yellow,21-03-2022,102,2022-03,Autumn
89,Trailer,623,2015,SINGLE AXLE,Silver,01-03-2022,103,2022-03,Autumn
90,Boat Trailer,623,2008,BOAT,Silver,22-02-2022,104,2022-02,Summer
91,Trailer,623,1990,HOMEBUILT,Blue,20-01-2022,104,2022-01,Summer
92,Trailer,623,2000,PRESCOTT,Silver,08-03-2022,104,2022-03,Autumn
93,Trailer,549,1996,TRAILER,Silver,24-03-2022,102,2022-03,Autumn
94,Trailer,623,2018,COMPASS-C85,Silver,18-03-2022,102,2022-03,Autumn
95,Trailer,616,2018,DOMESTIC TRAILER,Silver,28-12-2021,102,2021-12,Summer
96,Trailer,527,1985,TANDEM,Silver,13-01-2022,102,2022-01,Summer
97,Roadbike,550,2005,VT,Red,19-03-2022,102,2022-03,Autumn
98,Roadbike,550,2000,CBR,Blue,31-01-2022,114,2022-01,Summer
99,Trailer,623,2022,HOMEBUILT,Black,14-02-2022,102,2022-02,Summer
100,Boat Trailer,623,2021,JETSKI ACTION LAB,Grey,30-12-2021,103,2021-12,Summer
101,Trailer,623,2000,HOMEBUILT,Silver,29-01-2022,106,2022-01,Summer
102,Trailer,549,2022,TRAILER,Black,12-03-2022,104,2022-03,Autumn
103,Trailer,623,1998,MARTIN ENGINEERING,White,28-03-2022,102,2022-03,Autumn
104,Trailer,623,2018,TUFF,Silver,22-11-2021,104,2021-11,Spring
105,Trailer,623,1977,LOCAL,Brown,03-12-2021,104,2021-12,Summer
106,Trailer - Heavy,623,2018,8X4 TRAYLA,Silver,01-02-2022,106,2022-02,Summer
107,Trailer,623,1980,HOMEMADE,Blue,20-03-2022,111,2022-03,Autumn
108,Trailer - Heavy,623,2018,NYMIC,White,03-04-2022,114,2022-04,Autumn
109,Trailer,623,2022,TRAILER,Silver,09-02-2022,102,2022-02,Summer
110,Trailer,623,2019,TANDEM,Grey,23-02-2022,109,2022-02,Summer
111,Trailer,623,2022,COMPASS-D116K,Silver,15-03-2022,106,2022-03,Autumn
112,Roadbike,545,2004,FXSTDI,Red,16-01-2022,102,2022-01,Summer
113,Trailer,623,1967,LOCAL,Grey,19-10-2021,114,2021-10,Spring
114,Caravan,519,2006,SWIFT CHARISMA 230,White,27-02-2022,102,2022-02,Summer
115,Trailer,623,2018,TANK,Silver,29-03-2022,114,2022-03,Autumn
116,Tractor,575,2007,FERGUSSON,Red,23-01-2022,103,2022-01,Summer
117,Trailer,623,2022,BST85,Silver,15-03-2022,109,2022-03,Autumn
118,Roadbike,611,2003,LS650P,Black,03-12-2021,101,2021-12,Summer
119,Boat Trailer,626,2022,JET SKI,Black,19-03-2022,102,2022-03,Autumn
120,Trailer,623,2022,VULCAN,Silver,04-03-2022,102,2022-03,Autumn
121,Boat Trailer,549,1989,EZ LOADER STABI CRAF,Grey,12-10-2021,114,2021-10,Spring
122,Boat Trailer,623,2017,MCLAY,Silver,19-03-2022,105,2022-03,Autumn
123,Trailer,623,2019,ENSOL TANKER,Silver,28-02-2022,108,2022-02,Summer
124,Roadbike,561,2008,EX,Red,02-04-2022,102,2022-04,Autumn
125,Moped,585,2008,HYOSUNG SB49M,Red,29-01-2022,102,2022-01,Summer
126,Trailer,623,1996,BRIFORD,Grey,13-03-2022,114,2022-03,Autumn
127,Boat Trailer,623,2000,REID,Silver,03-02-2022,102,2022-02,Summer
128,Boat Trailer,549,1994,15X7,White,01-01-2022,114,2022-01,Summer
129,Trailer,623,1998,KEA,Grey,16-11-2021,111,2021-11,Spring
130,Trailer,623,2019,ROADCHIEF,Grey,20-01-2022,101,2022-01,Summer
131,Roadbike,565,2002,EXC,Orange,13-02-2022,101,2022-02,Summer
132,Trailer,623,2019,JOBMATE,Silver,13-03-2022,104,2022-03,Autumn
133,Trailer,623,2022,ENSOL TANKER,Silver,01-04-2022,108,2022-04,Autumn
134,Trailer,623,2019,BRAKED TANDEM,Silver,17-12-2021,104,2021-12,Summer
135,Trailer,623,1980,HARENG,Grey,31-12-2021,103,2021-12,Summer
136,Trailer,623,2019,HOMEBUILT,Silver,13-03-2022,115,2022-03,Autumn
137,Trailer,616,2019,DOMESTIC TRAILER,Silver,29-10-2021,102,2021-10,Spring
138,Trailer,623,1962,HOMEMADE,Green,16-02-2022,114,2022-02,Summer
139,Trailer,623,1997,SPACEE 2000,White,16-11-2021,107,2021-11,Spring
140,Trailer,514,2018,8X4 TANDEM TIPPER,Silver,18-03-2022,114,2022-03,Autumn
141,Trailer,538,2019,BRENT SMITH TRAILERS,Silver,30-12-2021,109,2021-12,Summer
142,Trailer,623,2019,TASMAN8X5TB,Silver,10-10-2021,111,2021-10,Spring
143,Boat Trailer,623,2019,MAKZ,Silver,14-12-2021,109,2021-12,Summer
144,Trailer,595,2019,ENCLOSED TRAILER,Silver,19-10-2021,102,2021-10,Spring
145,Trailer,623,2019,ELITE 8X4,Silver,28-02-2022,114,2022-02,Summer
146,Trailer - Heavy,623,2019,TRANSPORTER,Silver,27-12-2021,105,2021-12,Summer
147,Trailer,623,2019,DOMESTIC,Grey,09-03-2022,102,2022-03,Autumn
148,Trailer,538,2015,DOMESTIC TRAILER,Silver,21-03-2022,101,2022-03,Autumn
149,Trailer - Heavy,514,2015,TRAILER 8X4,Silver,08-12-2021,102,2021-12,Summer
150,Caravan,519,2008,XPLORE 452,White,26-12-2021,104,2021-12,Summer
151,Trailer,595,2015,BRAKED TANDEM,Silver,18-02-2022,103,2022-02,Summer
152,Trailer,623,2015,HOBBS,Silver,12-11-2021,105,2021-11,Spring
153,Trailer,623,2015,WILPRO,Silver,22-11-2021,104,2021-11,Spring
154,Trailer - Heavy,514,2015,TRAILER,Silver,24-01-2022,102,2022-01,Summer
155,Trailer - Heavy,514,2015,TRAILER,Silver,08-03-2022,102,2022-03,Autumn
156,Trailer - Heavy,514,2015,OTHER COMMERCIAL TRA,Silver,06-01-2022,114,2022-01,Summer
157,Trailer,623,2015,SINGLE AXLE 7X4,Silver,19-02-2022,114,2022-02,Summer
158,Caravan,606,2007,ALPINE  4T2A,White,29-01-2022,109,2022-01,Summer
159,Trailer,623,2015,FACTORY BUILT,Silver,10-01-2022,106,2022-01,Summer
160,Saloon,587,1989,SKYLINE,Blue,03-02-2022,109,2022-02,Summer
161,Boat Trailer,623,2015,YAMAHA VXR,Silver,10-11-2021,114,2021-11,Spring
162,Trailer - Heavy,514,2015,TRAILER,Silver,12-10-2021,109,2021-10,Spring
163,Trailer,623,2015,ROADLINE,Silver,30-10-2021,101,2021-10,Spring
164,Trailer,623,2015,TRAYLA,Silver,13-01-2022,109,2022-01,Summer
165,Trailer - Heavy,514,2015,TRAILER,Silver,31-12-2021,103,2021-12,Summer
166,Trailer - Heavy,514,2015,TRAILER,Silver,08-12-2021,102,2021-12,Summer
167,Caravan,525,1972,HALF VISTA,Red,16-03-2022,104,2022-03,Autumn
168,Trailer - Heavy,623,2015,CANTERBURY FABRICAT,White,08-03-2022,107,2022-03,Autumn
169,Trailer,623,2015,4.5M FLATDECK,Silver,28-01-2022,103,2022-01,Summer
170,Trail Bike,565,2020,SFX,Orange,08-11-2021,114,2021-11,Spring
171,Trailer,623,2016,ELITE 8X4,Silver,30-03-2022,114,2022-03,Autumn
172,Trailer,623,2019,ROADCHIEF 8X5,Silver,24-03-2022,115,2022-03,Autumn
173,Trailer,623,1998,LOCAL,Silver,25-12-2021,107,2021-12,Summer
174,Boat Trailer,623,2012,BOAT,Silver,22-12-2021,102,2021-12,Summer
175,Trailer - Heavy,623,2019,MM INDUSTRIES,Silver,11-10-2021,102,2021-10,Spring
176,Trailer,562,2019,KC85E,Silver,01-04-2022,104,2022-04,Autumn
177,Trailer,562,2019,KC106AB,Silver,29-03-2022,103,2022-03,Autumn
178,Boat Trailer,623,2019,BOAT TRAILER,Silver,12-02-2022,102,2022-02,Summer
179,Trailer - Heavy,562,2019,CAGE,Silver,24-11-2021,103,2021-11,Spring
180,Moped,629,1963,SPORTIQUE,Cream,07-12-2021,115,2021-12,Summer
181,Trailer,514,2019,5X4,Silver,02-11-2021,114,2021-11,Spring
182,Trailer,623,2019,CTDIG,Silver,22-11-2021,104,2021-11,Spring
183,Roadbike,611,2005,DR-Z400,Yellow,12-10-2021,114,2021-10,Spring
184,Trailer,599,2019,DOMESTIC TRAILER,Grey,28-10-2021,101,2021-10,Spring
185,Trailer,549,1990,TRAILER,Blue,19-03-2022,109,2022-03,Autumn
186,Trailer,623,1981,HOMEMADE,Grey,16-02-2022,102,2022-02,Summer
187,Trailer,623,2019,TRAYLA,Silver,04-02-2022,106,2022-02,Summer
188,Boat Trailer,513,2019,357J,Silver,16-12-2021,102,2021-12,Summer
189,Trailer,623,2019,SMASH PALACE,Silver,07-03-2022,114,2022-03,Autumn
190,Trailer,623,1996,BRIFORD 5X4 SHUTTLE,White,31-10-2021,114,2021-10,Spring
191,Trailer,623,2019,DIAMOND,Silver,19-01-2022,106,2022-01,Summer
192,Trailer,562,2019,K844XA,Silver,02-04-2022,103,2022-04,Autumn
193,Trailer,623,2019,TUFF,Silver,01-11-2021,102,2021-11,Spring
194,Caravan,623,2006,DMW,White,07-12-2021,102,2021-12,Summer
195,Trailer - Heavy,514,2015,TRAILER,Silver,08-03-2022,102,2022-03,Autumn
196,Trailer,623,1979,HOMEMADE,Green,02-12-2021,114,2021-12,Summer
197,Trailer - Heavy,623,2019,CABLE DRUM,Silver,13-03-2022,111,2022-03,Autumn
198,Trailer,623,1999,LOCAL,Silver,02-02-2022,102,2022-02,Summer
199,Trailer,623,1998,KING,Silver,19-02-2022,106,2022-02,Summer
200,Trailer,623,2001,HOME BUILT,Grey,14-10-2021,115,2021-10,Spring
201,Trailer - Heavy,623,2019,IFOR WILLIAMS,Silver,07-01-2022,101,2022-01,Summer
202,Trailer,623,1977,LOCAL,Orange,25-10-2021,104,2021-10,Spring
203,Roadbike,625,2004,SPEEDTRIPLE,Red,10-02-2022,108,2022-02,Summer
204,Trailer,623,2019,DOLY,Grey,29-11-2021,106,2021-11,Spring
205,Trailer,623,2019,SINGLE AXLE,Grey,15-12-2021,114,2021-12,Summer
206,Roadbike,611,2005,GN250,Black,02-04-2022,102,2022-04,Autumn
207,Roadbike,550,1985,XL250,White,27-03-2022,109,2022-03,Autumn
208,Trailer,623,2019,ROOFLINE,Grey,14-02-2022,111,2022-02,Summer
209,Trailer,623,2019,T D ENGINEERING,Silver,17-03-2022,107,2022-03,Autumn
210,Trailer,623,2015,TRADETESTED 7 X 4,Silver,12-10-2021,102,2021-10,Spring
211,Trailer,623,2015,VULCAN,Silver,01-11-2021,102,2021-11,Spring
212,Trailer,623,2016,HOME MADE,Grey,01-03-2022,109,2022-03,Autumn
213,Caravan,504,1976,CARAVAN,White,01-12-2021,102,2021-12,Summer
214,Trailer - Heavy,597,2015,TRAILER,Silver,11-10-2021,102,2021-10,Spring
215,Trailer,572,2015,DOMESTIC TRAILER,Silver,03-04-2022,115,2022-04,Autumn
216,Trailer,514,2008,TRAILER 8X4,Silver,10-02-2022,102,2022-02,Summer
217,Trailer - Heavy,623,1985,SLOAN,Blue,22-02-2022,103,2022-02,Summer
218,Trailer,616,2015,7X4,Silver,23-12-2021,102,2021-12,Summer
219,Trailer,623,2002,HOMEBUILT,Grey,31-01-2022,114,2022-01,Summer
220,Trailer,623,2016,DOMESTIC,Silver,22-11-2021,101,2021-11,Spring
221,Boat Trailer,623,2000,JETSKI,Black,25-12-2021,103,2021-12,Summer
222,Trailer,623,2016,TANDEM,Silver,04-04-2022,106,2022-04,Autumn
223,Trailer - Heavy,623,2016,FURN,White,17-01-2022,104,2022-01,Summer
224,Trailer,572,2016,3X2 PLATFORM,Silver,27-02-2022,115,2022-02,Summer
225,Trailer,623,2019,HOMEBUILT,Silver,26-01-2022,108,2022-01,Summer
226,Trailer,623,2019,GORILLA,Silver,25-01-2022,114,2022-01,Summer
227,Roadbike,611,2007,UZ,Grey,18-12-2021,102,2021-12,Summer
228,Trailer,549,1990,TRAILER,Grey,10-02-2022,114,2022-02,Summer
229,Caravan,525,1979,DIPLOMAT,Blue,28-01-2022,108,2022-01,Summer
230,Trailer - Heavy,623,1976,LOCAL,Silver,22-01-2022,108,2022-01,Summer
231,Trailer,549,1987,TRAILER,Red,05-03-2022,115,2022-03,Autumn
232,Trailer,616,2019,DOMESTIC TRAILER,Silver,03-03-2022,102,2022-03,Autumn
233,Trailer,623,2019,HOMEMADE,Silver,06-12-2021,108,2021-12,Summer
234,Moped,594,1998,MOTORCYCLE,Blue,06-11-2021,102,2021-11,Spring
235,Roadbike,611,2003,GSX250,Silver,30-12-2021,104,2021-12,Summer
236,Roadbike,611,2009,VL800,Black,31-03-2022,102,2022-03,Autumn
237,Trailer,623,2002,DOMESTIC TRAILER,Grey,29-12-2021,102,2021-12,Summer
238,Trailer,514,2019,8X5 TANDEM,Silver,09-01-2022,114,2022-01,Summer
239,Trailer,623,2016,KEA,Silver,14-10-2021,102,2021-10,Spring
240,Trailer,623,2019,TANDEM,Silver,16-02-2022,114,2022-02,Summer
241,Roadbike,611,2007,VL800,Black,17-01-2022,102,2022-01,Summer
242,Trailer,549,1977,OLEARY 1 AXLE,Silver,02-03-2022,107,2022-03,Autumn
243,Trailer,623,2001,DOMESTIC TRAILER,Silver,13-01-2022,108,2022-01,Summer
244,Boat Trailer,623,2019,HOMEBUILT,Silver,15-12-2021,102,2021-12,Summer
245,Boat Trailer,623,2019,BOAT,Silver,31-01-2022,101,2022-01,Summer
246,Trailer,623,2019,HOMEBUILT,Black,17-11-2021,106,2021-11,Spring
247,Trailer,516,2019,8X5 TANDEM TRAILER,Silver,18-10-2021,114,2021-10,Spring
248,Boat Trailer,623,2019,BOAT,Silver,04-03-2022,102,2022-03,Autumn
249,Trailer,623,2019,M J SINGLE AXLE,Silver,24-01-2022,114,2022-01,Summer
250,Trailer,549,2019,DOMESTIC TRAILER,Black,06-01-2022,102,2022-01,Summer
251,Trailer,623,1940,HOMEBUILT,White,26-11-2021,115,2021-11,Spring
252,Trailer,538,2019,DOMESTIC TRAILER,Silver,21-03-2022,109,2022-03,Autumn
253,Trailer - Heavy,623,2019,ROADCHIEF,Silver,24-10-2021,104,2021-10,Spring
254,Trailer,623,1997,K64SE,Silver,04-11-2021,111,2021-11,Spring
255,Trailer,623,1997,OLEARY,Silver,04-04-2022,108,2022-04,Autumn
256,Boat Trailer,623,2001,LOCAL,Silver,15-03-2022,101,2022-03,Autumn
257,Trailer,623,2017,CONCEPT,Silver,28-10-2021,108,2021-10,Spring
258,Trailer,616,2019,DOMESTIC TRAILER,Silver,25-03-2022,109,2022-03,Autumn
259,Boat Trailer,549,2019,BOAT TRAILER,Silver,29-10-2021,102,2021-10,Spring
260,Roadbike,636,2005,YZF-R6T,Grey,17-02-2022,102,2022-02,Summer
261,Trailer,538,2019,TRAILUX TRAILER,Silver,31-03-2022,109,2022-03,Autumn
262,Trailer,623,2016,ELITE 8X4,Silver,04-02-2022,114,2022-02,Summer
263,Trailer,623,2016,UTILITY,Silver,22-03-2022,102,2022-03,Autumn
264,Trailer - Heavy,623,2016,GT TRAILER,Silver,29-10-2021,114,2021-10,Spring
265,Caravan,630,2016,710,White,28-03-2022,103,2022-03,Autumn
266,Trailer,616,2016,8X5 SINGLE,Silver,23-03-2022,102,2022-03,Autumn
267,Trailer,549,2016,HOME BUILD,Silver,07-12-2021,114,2021-12,Summer
268,Trailer,549,2004,TRAILER,Blue,20-03-2022,114,2022-03,Autumn
269,Trailer,623,2016,COMPASS C85,Silver,11-12-2021,103,2021-12,Summer
270,Trailer - Heavy,514,2016,TRAILER,Silver,07-12-2021,102,2021-12,Summer
271,Trailer,514,2016,TRAILER,Silver,14-01-2022,114,2022-01,Summer
272,Trailer - Heavy,623,2016,GT TRAILER,Silver,29-10-2021,102,2021-10,Spring
273,Trailer,549,1960,TRAILER,White,01-01-2022,114,2022-01,Summer
274,Trailer - Heavy,623,2013,MAINLINE TANKER,Grey,08-11-2021,102,2021-11,Spring
275,Trailer - Heavy,527,2016,TBS,Grey,12-10-2021,102,2021-10,Spring
276,Trailer,623,2016,GOUGH ENGINEERING,Silver,25-03-2022,103,2022-03,Autumn
277,Trailer - Heavy,514,2016,TRAILER,Silver,08-11-2021,102,2021-11,Spring
278,Trailer,623,2016,COMPASS KH85T,Silver,23-02-2022,102,2022-02,Summer
279,Trailer,514,2016,6X4,Grey,01-12-2021,102,2021-12,Summer
280,Trailer,623,2016,ELITE 8X4,Silver,30-01-2022,114,2022-01,Summer
281,Saloon,576,1993,LANTIS,Blue,14-02-2022,103,2022-02,Summer
282,Trailer,623,2016,TUFF,Silver,01-11-2021,102,2021-11,Spring
283,Trailer - Heavy,514,2016,TRAILER,Silver,15-11-2021,102,2021-11,Spring
284,Trailer - Heavy,514,2016,OTHER COMMERCIAL TRA,Silver,08-03-2022,104,2022-03,Autumn
285,Trailer - Heavy,514,2016,OTHER COMMERCIAL TRA,Silver,17-01-2022,103,2022-01,Summer
286,Boat Trailer,623,2016,AAA375 AAKRON,Silver,29-01-2022,102,2022-01,Summer
287,Caravan,519,2007,LUNA DELTA,White,24-03-2022,109,2022-03,Autumn
288,Trailer,623,2016,VULCAN,Silver,31-10-2021,102,2021-10,Spring
289,Trailer,623,2016,TUFF,Silver,28-10-2021,104,2021-10,Spring
290,Boat Trailer,527,2016,4,Grey,22-10-2021,114,2021-10,Spring
291,Trailer - Heavy,623,2010,FLATDECK,Blue,08-11-2021,114,2021-11,Spring
292,Trailer,514,2016,TRAILER 8X4,Silver,25-11-2021,102,2021-11,Spring
293,Roadbike,611,2005,GSX 750,Blue,26-03-2022,102,2022-03,Autumn
294,Trailer,514,2019,8X4,Silver,16-02-2022,114,2022-02,Summer
295,Boat Trailer,635,1998,JII,Silver,05-01-2022,104,2022-01,Summer
296,Boat Trailer,623,2000,HOSKING,Silver,26-12-2021,102,2021-12,Summer
297,Boat Trailer,623,2019,SPORTLINE 610 HT,Grey,30-03-2022,103,2022-03,Autumn
298,Roadbike,505,1998,PEGASO,Red,05-04-2022,115,2022-04,Autumn
299,Moped,636,2007,CV50 JOG,Blue,26-10-2021,102,2021-10,Spring
300,Trailer,623,2019,HANSA CHIPPER,Green,02-02-2022,103,2022-02,Summer
301,Roadbike,611,2007,GSX600F,Black,02-03-2022,101,2022-03,Autumn
302,Trailer,562,2020,KEA MX4,Silver,02-12-2021,102,2021-12,Summer
303,Trailer,514,1985,SINGLE AXLE,Grey,05-02-2022,114,2022-02,Summer
304,Roadbike,611,2008,GSX,Orange,13-03-2022,102,2022-03,Autumn
305,Boat Trailer,623,2020,AFC JETSKI,Silver,15-11-2021,109,2021-11,Spring
306,Trailer,535,1977,RSKF1F27.9,Red,04-11-2021,102,2021-11,Spring
307,Boat Trailer,623,2020,ASD JETSKI,Silver,04-01-2022,102,2022-01,Summer
308,Caravan,508,2009,PEGEANT S7 LOIRE,White,19-12-2021,102,2021-12,Summer
309,Boat Trailer,623,2020,JETSKI,Grey,02-04-2022,101,2022-04,Autumn
310,Roadbike,561,1986,ZL 900,Red,30-11-2021,101,2021-11,Spring
311,Boat Trailer,623,2020,JETSKI,Silver,30-03-2022,103,2022-03,Autumn
312,Trailer,623,2020,BRI-INN,Silver,07-03-2022,114,2022-03,Autumn
313,Trailer,549,1989,LOCAL,Grey,22-03-2022,103,2022-03,Autumn
314,Boat Trailer,623,2019,JEYSKI ACTION LAB,Grey,20-01-2022,102,2022-01,Summer
315,Boat Trailer,527,2020,AUCKLAND,Silver,08-10-2021,102,2021-10,Spring
316,Roadbike,554,2006,GV,Red,01-03-2022,105,2022-03,Autumn
317,Boat Trailer,623,2020,HOMEMADE,Grey,10-01-2022,103,2022-01,Summer
318,Trailer - Heavy,514,2016,OTHER COMMERCIAL TRA,Silver,07-12-2021,102,2021-12,Summer
319,Caravan,519,1977,CHEVRON 1300,White,26-02-2022,104,2022-02,Summer
320,Trailer,623,1981,HOMEMADE,Grey,12-11-2021,106,2021-11,Spring
321,Trailer,623,2020,DOMESTIC,Silver,03-02-2022,102,2022-02,Summer
