id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,GBH,GBD,GBA,BSH,BSD,BSA
43,1,1,2008/2009,13,22-11-2008 00:00,492631,9999,7947,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3.3,2.88,2.3,3.2,2.8,2.2,3.1,2.8,2.2,3.25,2.75,,,,2.5,3.15,2.6,2.38,3.25,2.88,2.25,3.25,2.75,2.3,3.25,2.9,2.5,3.2,2.5
44,1,1,2008/2009,13,16-12-2008 00:00,492636,8571,10000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,3.4,2.88,2.25,3.1,2.9,2.3,3,2.7,2.2,3.25,2.75,,,,2.3,3.2,2.62,2.38,3.2,3,2.25,3.25,2.8,2.3,3.2,2.75,2.3,3.2,2.75
45,1,1,2008/2009,13,22-11-2008 00:00,492638,9993,9994,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,3.3,3.3,2.25,3,3,2.3,3.1,2.6,2.2,3,3,,,,2.25,3.2,2.9,2.25,3.25,3,2.25,3.25,2.8,2.25,3.2,3,2.3,3.2,2.75
46,1,1,2008/2009,14,30-11-2008 00:00,492649,8342,9993,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,4.2,6,1.32,4.5,8.25,1.3,4.2,8,1.33,4.33,7,,,,1.33,4.2,7.5,1.36,4.5,8,1.4,4,7,1.33,4.5,7.5,1.36,4.2,7
47,1,1,2008/2009,14,29-11-2008 00:00,492651,9987,9984,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,3.4,4.5,1.65,3.45,4.9,1.65,3.4,4.2,1.72,3.4,4,,,,1.7,3.4,4.2,1.67,3.5,5,1.7,3.4,4.5,1.7,3.4,4.4,1.7,3.4,4.33
48,1,1,2008/2009,14,29-11-2008 00:00,492658,10000,9986,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,3.25,3,2.2,3.2,3,2.2,3,2.9,2.25,3.25,2.7,,,,2.3,3.25,2.6,2.2,3.25,3.1,2.25,3.25,2.75,2.15,3.2,3,2.25,3.2,2.8
49,1,1,2008/2009,14,29-11-2008 00:00,492662,9991,9999,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,4.75,9.5,1.3,4.7,8.5,1.4,3.9,6,1.33,4,8,,,,1.36,3.75,8,1.36,4.5,8,1.3,4.5,8,1.33,4.5,7.5,1.33,4.5,7.5
50,1,1,2008/2009,14,28-11-2008 00:00,492664,7947,8635,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3.75,1.67,5.35,3.5,1.6,4.6,3.4,1.6,4.5,3.5,1.61,,,,5,3.5,1.57,6,3.5,1.62,5,3.5,1.6,4.75,3.5,1.6,4.5,3.5,1.67
51,1,1,2008/2009,14,30-11-2008 00:00,492666,8203,9985,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,3.5,1.67,5.25,3.5,1.6,4.2,3.4,1.65,4.33,3.4,1.66,,,,5,3.4,1.6,5.25,3.4,1.67,4.5,3.4,1.65,4.75,3.4,1.65,5,3.4,1.62
52,1,1,2008/2009,14,29-11-2008 00:00,492670,9996,9994,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,3.25,3,2.1,3.1,3.3,2.2,3.1,2.8,2.2,3.2,2.8,,,,2.2,3.2,2.8,2.15,3.2,3.25,2.2,3.25,2.9,2.15,3.2,3,2.25,3.2,2.8
53,1,1,2008/2009,14,29-11-2008 00:00,492674,4049,8571,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.2,2.88,2.15,3.25,3.05,2.2,3.1,2.8,2.3,3.2,2.62,,,,2.2,3.2,2.8,2.4,3.2,2.8,2.4,3.25,2.65,2.2,3.2,2.9,2.38,3.2,2.62
54,1,1,2008/2009,14,29-11-2008 00:00,492677,10001,9998,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,3.6,5.25,1.55,3.45,6,1.6,3.4,4.6,1.57,3.5,5,,,,1.6,3.25,5.5,1.62,3.5,5.5,1.55,3.6,5,1.6,3.5,5,1.57,3.4,5.5
55,1,1,2008/2009,15,06-12-2008 00:00,492683,8635,4049,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,6,11,1.2,5.1,12,1.2,5,10,1.17,5.5,12,,,,1.22,5,9.5,1.2,6.5,13,1.2,5.5,11,1.2,5.5,11,1.2,6,10
56,1,1,2008/2009,15,06-12-2008 00:00,492686,9985,10000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,4.5,7.5,1.28,4.5,9,1.3,4.2,8,1.29,4.33,9,,,,1.3,4.5,7.5,1.36,4.5,9,1.28,4.5,8.5,1.3,4.5,8.5,1.3,4.5,8.5
57,1,1,2008/2009,15,06-12-2008 00:00,492689,9998,7947,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.25,3.25,2.15,3.1,3.1,2.1,3.1,3,2,3.2,3.2,,,,2.1,3.2,3,2.15,3.25,3.4,2.1,3.25,3,2.1,3.2,3.1,2.1,3.25,3.1
58,1,1,2008/2009,15,06-12-2008 00:00,492692,9986,8203,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,3.4,5,1.6,3.5,4.9,1.65,3.3,4.4,1.62,3.5,4.5,,,,1.65,3.4,4.5,1.7,3.5,5.25,1.65,3.5,4.5,1.67,3.4,4.6,1.67,3.4,4.75
59,1,1,2008/2009,15,05-12-2008 00:00,492693,9984,9991,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3.3,2.88,2.25,3,3,2.2,3.1,2.8,2.38,3.2,2.6,,,,2.25,3.2,2.75,2.4,3.2,3,2.3,3.3,2.65,2.35,3.25,2.8,2.3,3.2,2.75
60,1,1,2008/2009,15,07-12-2008 00:00,492696,9994,8342,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,3.2,2.3,3,3,2.25,2.6,3.1,2.3,2.75,3.2,2.25,,,,2.75,3.2,2.25,3.2,3.2,2.25,2.6,3.3,2.35,2.75,3.2,2.3,2.62,3.2,2.38
61,1,1,2008/2009,15,06-12-2008 00:00,492699,9999,10001,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,3.3,2.1,2.95,3.25,2.15,2.8,3.1,2.2,2.88,3.3,2.1,,,,3.2,3.2,2,3.4,3.25,2.15,3,3.25,2.1,2.85,3.25,2.2,3.1,3.25,2.1
62,1,1,2008/2009,15,07-12-2008 00:00,492702,8571,9987,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,3.25,2.1,3.35,3.2,2,3.2,3.1,2,3,3.2,2.1,,,,3,3.2,2.1,3.5,3.2,2.15,3,3.25,2.1,3.1,3.2,2.1,3.3,3.25,2
